X__1,X__2
Omaha city,408958
Lincoln city,258379
Bellevue city,50137
Grand Island city,48520
Kearney city,30787
Fremont city,26397
Hastings city,24907
North Platte city,24733
Norfolk city,24210
Columbus city,22111
Papillion city,18894
La Vista city,15758
Scottsbluff city,15039
South Sioux City city,13353
Beatrice city,12459
Lexington city,10230
Gering city,8500
Alliance city,8491
Blair city,7990
York city,7766
McCook city,7698
Nebraska City city,7289
Seward city,6964
Crete city,6960
Sidney city,6757
Plattsmouth city,6502
Schuyler city,6211
Ralston city,5943
Chadron city,5851
Wayne city,5660
Holdrege city,5495
Ogallala city,4737
Wahoo city,4508
Aurora city,4479
Gretna city,4441
Falls City city,4325
Cozad city,3977
Fairbury city,3942
O'Neill city,3705
Gothenburg city,3574
Broken Bow city,3559
Auburn city,3460
West Point city,3364
Waverly city,3277
Central City city,2934
Minden city,2923
David City city,2906
Valentine city,2737
Kimball city,2496
Ashland city,2453
Madison city,2438
St. Paul city,2290
Geneva city,2217
Ord city,2112
Milford city,2090
Imperial city,2071
Superior city,1957
Syracuse city,1942
Dakota City city,1919
Valley city,1875
Wilber city,1855
Gibbon city,1833
Pierce city,1767
Tekamah city,1736
Ainsworth city,1728
Mitchell city,1702
Tecumseh city,1677
Hickman city,1657
Albion city,1650
Gordon city,1612
Neligh city,1599
Hebron city,1579
Stanton city,1577
Hartington city,1554
Bridgeport city,1545
Springfield city,1529
Sutton city,1502
Bennington city,1458
Wymore city,1457
Wakefield city,1451
Ravenna city,1360
Wood River city,1325
Fullerton city,1307
Sutherland village,1286
Plainview city,1246
Atkinson city,1245
Oakland city,1244
Arlington village,1243
Burwell city,1210
Bayard city,1209
Battle Creek city,1207
Terrytown city,1198
North Bend city,1177
Yutan city,1174
Stromsburg city,1171
Wisner city,1170
Grant city,1165
Creighton city,1154
Alma city,1133
Louisville city,1106
Cambridge city,1063
Shelton village,1059
Weeping Water city,1050
Loup City city,1029
Bloomfield city,1028
Friend city,1027
Arapahoe city,1026
Eagle village,1024
Red Cloud city,1020
Harvard city,1013
Genoa city,1003
Pender village,1002
Franklin city,1e3
Crawford city,997
Henderson city,991
Laurel city,964
Ponca city,961
Benkelman city,953
Tilden city,953
Randolph city,944
Curtis city,939
Blue Hill city,936
Chappell city,929
Morrill village,921
Fort Calhoun city,908
Elm Creek village,901
Rushville city,890
Ceresco village,889
Oshkosh city,884
Kenesaw village,880
Osceola city,880
Pawnee City city,878
Humboldt city,877
Peru city,865
Utica village,861
Scribner city,857
Lyons city,851
Waterloo village,848
Emerson village,840
Hooper city,830
Doniphan village,829
Minatare city,816
Hemingford village,803
Cairo village,785
Osmond city,783
Walthill village,780
Oxford village,779
Winnebago village,774
Clay Center city,760
Humphrey city,760
Juniata village,755
Bertrand village,750
Deshler city,747
Boys Town village,745
Axtell village,726
Crofton city,726
Newman Grove city,721
Bennet village,719
Shelby village,714
Elwood village,707
St. Edward city,705
Beemer village,678
Hershey village,665
Elgin city,661
Clarkson city,658
Alda village,642
Elmwood village,634
Wausa village,634
Bassett city,619
Dodge village,612
Cedar Bluffs village,610
Beaver City city,609
Arnold village,597
Culbertson village,595
Overton village,594
Exeter village,591
Firth village,590
Stuart village,590
Dorchester village,586
Indianola city,584
Wauneta village,577
Verdigre village,575
Adams village,573
Hay Springs village,570
Valparaiso village,570
Mead village,569
Greenwood village,568
Howells village,561
Fairmont village,560
Trenton village,560
Homer village,549
Palmyra village,545
Callaway village,539
Sargent city,525
Paxton village,523
De Witt village,513
Mullen village,509
