city,pop,percentile,percentage
Winnebago village,774,0.25380710659898476,0.0582285432708041
Madison city,2438,0.7461928934010152,0.18341238823542688
West Point city,3364,0.7868020304568528,0.2530759942674225
Schuyler city,6211,0.868020304568528,0.46725772901158175
Crete city,6960,0.883248730964467,0.5236055053808741
Lexington city,10230,0.9238578680203046,0.7696098160986123
Scottsbluff city,15039,0.9390862944162437,1.1313941372734146
Norfolk city,24210,0.9593908629441624,1.8213346674239888
North Platte city,24733,0.9644670050761421,1.8606803110036148
Hastings city,24907,0.9695431472081218,1.8737704486381366
Fremont city,26397,0.9746192893401016,1.9858641559682375
